themename,themepercent,themenamecodename,code,snname,sncode
Education for all,100,Education for all,65,Primary education,EP
Education for all,100,Education for all,65,Secondary education,ES
Education for all,100,Education for all,65,Public administration- Other social services,BS
Education for all,100,Education for all,65,Tertiary education,ET
Other economic management,30,Other economic management,24,Public administration- Other social services,BS
Other economic management,30,Other economic management,24,General public administration sector,BZ
Other economic management,30,Social safety nets,54,Public administration- Other social services,BS
Other economic management,30,Social safety nets,54,General public administration sector,BZ
Regional integration,46,Regional integration,47,Rural and Inter-Urban Roads and Highways,TI
Regional integration,46,Administrative and civil service reform,25,Rural and Inter-Urban Roads and Highways,TI
Regional integration,46,Climate change,81,Rural and Inter-Urban Roads and Highways,TI
Regional integration,46,Natural disaster management,52,Rural and Inter-Urban Roads and Highways,TI
Participation and civic engagement,50,Participation and civic engagement,57,Other social services,JB
Participation and civic engagement,50,Gender,59,Other social services,JB
Export development and competitiveness,30,Export development and competitiveness,45,General industry and trade sector,YZ
Export development and competitiveness,30,Export development and competitiveness,45,Other industry,YW
Export development and competitiveness,30,Export development and competitiveness,45,SME Finance,FH
Export development and competitiveness,30,"Micro, Small and Medium Enterprise support",41,General industry and trade sector,YZ
Export development and competitiveness,30,"Micro, Small and Medium Enterprise support",41,Other industry,YW
Export development and competitiveness,30,"Micro, Small and Medium Enterprise support",41,SME Finance,FH
Social safety nets,100,Social safety nets,54,Other social services,JB
Administrative and civil service reform,20,Administrative and civil service reform,25,Rural and Inter-Urban Roads and Highways,TI
Administrative and civil service reform,20,Infrastructure services for private sector development,39,Rural and Inter-Urban Roads and Highways,TI
Climate change,100,Climate change,81,Other Renewable Energy,LR
Other rural development,87,Other rural development,79,Rural and Inter-Urban Roads and Highways,TI
Other accountability/anti-corruption,33,Other accountability/anti-corruption,29,General public administration sector,BZ
Other accountability/anti-corruption,33,Other accountability/anti-corruption,29,Central government administration,BC
Other accountability/anti-corruption,33,Other accountability/anti-corruption,29,Public administration- Information and communications,BM
Other accountability/anti-corruption,33,Other public sector governance,30,General public administration sector,BZ
Other accountability/anti-corruption,33,Other public sector governance,30,Central government administration,BC
Other accountability/anti-corruption,33,Other public sector governance,30,Public administration- Information and communications,BM
Other accountability/anti-corruption,33,"Public expenditure, financial management and procurement",27,General public administration sector,BZ
Other accountability/anti-corruption,33,"Public expenditure, financial management and procurement",27,Central government administration,BC
Other accountability/anti-corruption,33,"Public expenditure, financial management and procurement",27,Public administration- Information and communications,BM
Global food crisis response,100,Global food crisis response,91,Crops,AH
Global food crisis response,100,Global food crisis response,91,Other social services,JB
Global food crisis response,100,Global food crisis response,91,"General agriculture, fishing and forestry sector",AZ
Rural services and infrastructure,60,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,60,Rural services and infrastructure,78,Flood protection,WD
Rural services and infrastructure,60,Rural services and infrastructure,78,Housing construction,YC
